objectid,filename,title,creator,date,subject,dimensions,location,latitude,longitude,display_template,format,object_location,image_small,image_thumb
jp13,jp13.jpg,Evening Shower at Takaido,Takahashi Hiroaki (Shōtai); Hasui Kawase,,trees; figures,14.5 x 6.25 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp13.jpg,/objects/small/jp13_sm.jpg,/objects/thumbs/jp13_th.jpg
jp14,jp14.jpg,Snow at Asakusa,Takahashi Hiroaki (Shōtai); Hasui Kawase,,landscape; architecture; trees,15 x 6.25 in.,Shain Library,35.7153139,139.797401,image,image/jpeg,/objects/jp14.jpg,/objects/small/jp14_sm.jpg,/objects/thumbs/jp14_th.jpg
jp15,jp15.jpg,"Ueno in Iga Province, no. 6 from the series Pictures of Famous Places in the Sixty-odd Provinces",Utagawa Hiroshige,1853,landscape; trees; architecture,14.75 x 9.25 in.,Shain Library,34.77073771,136.1278942,image,image/jpeg,/objects/jp15.jpg,/objects/small/jp15_sm.jpg,/objects/thumbs/jp15_th.jpg
jp16,jp16.jpg,Geese and Moon,Utagawa Hiroshige,,birds; animals,11.25 x 4 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp16.jpg,/objects/small/jp16_sm.jpg,/objects/thumbs/jp16_th.jpg
jp17,jp17.jpg,"The Willow Tree at the Gate of the Shimabara Pleasure Quarter (Shimabara deguchi no yanagi), from the series Famous Views of Kyoto (Kyôto meisho no uchi)",Utagawa Hiroshige,1834,cityscape; figures; architecture; clothing,8.5 x 13.5 in.,Shain Library,34.99301826,135.7404829,image,image/jpeg,/objects/jp17.jpg,/objects/small/jp17_sm.jpg,/objects/thumbs/jp17_th.jpg
jp19,jp19.jpg,"Fuchū from the The Fifty-three Stations of the Tokaido (""Kyoka Tokaido"") series",Utagawa Hiroshige,1838,landscape; figures; architecture,8.25 x 28 in.,Shain Library,35.67152618,139.4760982,image,image/jpeg,/objects/jp19.jpg,/objects/small/jp19_sm.jpg,/objects/thumbs/jp19_th.jpg
jp20,jp20.jpg,The Monkey Bridge (Saruhashi),Utagawa Hiroshige,,landscape; trees; figures,4.25 x 3 in.,Shain Library,35.61587613,138.9802005,image,image/jpeg,/objects/jp20.jpg,/objects/small/jp20_sm.jpg,/objects/thumbs/jp20_th.jpg
jp21,jp21.jpg,Lady by Twilight from the Night Scenes series,Utagawa Hiroshige,,women; figures; clothing,9.5 x 7 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp21.jpg,/objects/small/jp21_sm.jpg,/objects/thumbs/jp21_th.jpg
jp22,jp22.jpg,No. 24 from the series Magic Lantern Slides of That Romantic Purple Figure (Sono sugata yukari no utsushi-e),Utagawa Hiroshige II (Shigenobu),1852,women; figures; clothing,9 x 13.25 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp22.jpg,/objects/small/jp22_sm.jpg,/objects/thumbs/jp22_th.jpg
jp23,jp23.jpg,Snow in the Precincts of the Tenman Shrine at Kameido,Utagawa Hiroshige II (Shigenobu),1838,landscape; water; architecture,9 x 13.25 in.,Shain Library,35.70327275,139.8206028,image,image/jpeg,/objects/jp23.jpg,/objects/small/jp23_sm.jpg,/objects/thumbs/jp23_th.jpg
jp24,jp24.jpg,"Night Rain at Karasaki, from the series Eight Views of Ōmi",Utagawa Hiroshige II (Shigenobu),1835,landscape; water; trees,5 x 7.5 in.,Shain Library,35.04981504,135.8691861,image,image/jpeg,/objects/jp24.jpg,/objects/small/jp24_sm.jpg,/objects/thumbs/jp24_th.jpg
jp25,jp25.jpg,Night Rain at Pillow Bridge (Makura-bashi Yau) from the series Eight Views of the Sumida River (Sumidagawa hakkei),Utagawa Hiroshige II (Shigenobu),1861,figures; trees; water,14 x 9 in.,Shain Library,35.7147487,139.810328,image,image/jpeg,/objects/jp25.jpg,/objects/small/jp25_sm.jpg,/objects/thumbs/jp25_th.jpg
jp26,jp26.jpg,Sudden Shower over Shin-Ōhashi Bridge and Atake,Utagawa Hiroshige II (Shigenobu),1857,figures; water,14 x 9 in.,Shain Library,35.68773308,139.7922871,image,image/jpeg,/objects/jp26.jpg,/objects/small/jp26_sm.jpg,/objects/thumbs/jp26_th.jpg
jp27,jp27.jpg,The Great Wave off Kanagawa,Katsushika Hokusai,1830,water; boats; figures,9 x 13 in.,Shain Library,35.41515766,139.1723559,image,image/jpeg,/objects/jp27.jpg,/objects/small/jp27_sm.jpg,/objects/thumbs/jp27_th.jpg
jp28,jp28.jpg,Flowers of the four seasons,Hoitsu Sakai,,flowers,9 x 13 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp28.jpg,/objects/small/jp28_sm.jpg,/objects/thumbs/jp28_th.jpg
jp29,jp29.jpg,Persimmons and Flowers,Hoitsu Sakai,,flowers,9 x 12.5 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp29.jpg,/objects/small/jp29_sm.jpg,/objects/thumbs/jp29_th.jpg
jp30,jp30.jpg,"Pink flower, Green Leaves",Hoitsu Sakai,,flowers,12 x 14.5 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp30.jpg,/objects/small/jp30_sm.jpg,/objects/thumbs/jp30_th.jpg
jp31,jp31.jpg,Kajikazawa in Kai province from the Thirty-six Views of Mount Fuji series,Katsushika Hokusai,1832,water; figures; landscape,9 x 14.5 in.,Shain Library,35.66250374,138.5153267,image,image/jpeg,/objects/jp31.jpg,/objects/small/jp31_sm.jpg,/objects/thumbs/jp31_th.jpg
jp32,jp32.jpg,Two Herons in the Snow,Gakusui Ide,1950,birds; animals,14 x 9 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp32.jpg,/objects/small/jp32_sm.jpg,/objects/thumbs/jp32_th.jpg
jp33,jp33.jpg,Dawn at Takamatsu Harbor (Takamatsuko mimei),Hide Kawanishi,1947,landscape; water; boats,9 x 12.75 in.,Shain Library,34.36780721,134.0506006,image,image/jpeg,/objects/jp33.jpg,/objects/small/jp33_sm.jpg,/objects/thumbs/jp33_th.jpg
jp34,jp34.jpg,Fishermen in the Water,Hide Kawanishi,,architecture; boats; water,9 x 12.75 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp34.jpg,/objects/small/jp34_sm.jpg,/objects/thumbs/jp34_th.jpg
